Enthalpy_L,Enthalpy_V,Entropy_L,Entropy_V,dryness,Enthalpy,Entropy
0.0,2500.9,0.0,9.1555,0.92,2300.828,8.42306
0.0,2500.9,0.0,9.1555,0.93,2325.837,8.514615000000001
0.0,2500.9,0.0,9.1555,0.9400000000000001,2350.846,8.60617
0.0,2500.9,0.0,9.1555,0.9500000000000001,2375.8550000000005,8.697725
0.0,2500.9,0.0,9.1555,0.96,2400.864,8.78928
0.0,2500.9,0.0,9.1555,0.97,2425.873,8.880835
0.0,2500.9,0.0,9.1555,0.98,2450.882,8.972389999999999
0.0,2500.9,0.0,9.1555,0.99,2475.891,9.063945
7.89,2504.3,0.02878,9.1058,0.0,7.89,0.02878
7.89,2504.3,0.02878,9.1058,0.01,32.8541,0.11955020000000001
7.89,2504.3,0.02878,9.1058,0.02,57.818200000000004,0.21032040000000002
7.89,2504.3,0.02878,9.1058,0.03,82.7823,0.3010906
7.89,2504.3,0.02878,9.1058,0.04,107.74640000000001,0.3918608
7.89,2504.3,0.02878,9.1058,0.05,132.71050000000002,0.48263100000000003
7.89,2504.3,0.02878,9.1058,0.06,157.6746,0.5734012
7.89,2504.3,0.02878,9.1058,0.07,182.63870000000003,0.6641714000000002
7.89,2504.3,0.02878,9.1058,0.08,207.6028,0.7549416000000001
7.89,2504.3,0.02878,9.1058,0.09,232.5669,0.8457118000000001
7.89,2504.3,0.02878,9.1058,0.1,257.53100000000006,0.9364820000000001
7.89,2504.3,0.02878,9.1058,0.11,282.49510000000004,1.0272522000000002
7.89,2504.3,0.02878,9.1058,0.12,307.4592,1.1180224
7.89,2504.3,0.02878,9.1058,0.13,332.42330000000004,1.2087926000000002
7.89,2504.3,0.02878,9.1058,0.14,357.38740000000007,1.2995628000000004
7.89,2504.3,0.02878,9.1058,0.15,382.35150000000004,1.390333
7.89,2504.3,0.02878,9.1058,0.16,407.3156,1.4811032000000002
7.89,2504.3,0.02878,9.1058,0.17,432.27970000000005,1.5718734000000003
7.89,2504.3,0.02878,9.1058,0.18,457.2438,1.6626436000000002
7.89,2504.3,0.02878,9.1058,0.19,482.20790000000005,1.7534138000000001
7.89,2504.3,0.02878,9.1058,0.2,507.1720000000001,1.8441840000000003
7.89,2504.3,0.02878,9.1058,0.21,532.1361,1.9349542000000002
7.89,2504.3,0.02878,9.1058,0.22,557.1002000000001,2.0257244
7.89,2504.3,0.02878,9.1058,0.23,582.0643000000001,2.1164946000000002
7.89,2504.3,0.02878,9.1058,0.24,607.0284,2.2072648
7.89,2504.3,0.02878,9.1058,0.25,631.9925000000001,2.298035
7.89,2504.3,0.02878,9.1058,0.26,656.9566000000001,2.3888052
7.89,2504.3,0.02878,9.1058,0.27,681.9207000000001,2.4795754000000003
